Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,9
#1-2-2,9
#1-4-1,5
#13-1-1,9
#13-3-3,1
#17-1-1,3
#17-1-2,1
#17-11-1,1
#17-19-2,4
#17-19-3,3
#17-3-1,1
#17-6-1,1
#17-7-1,3
#17-8-1,3
#17-8-2,1
#17-8-3,1
#18-1-1,11
#18-1-2,3
#18-2-1,1
#18-2-2,1
#18-3-1,1
#18-3-2,1
#2-1-1,1
#2-1-4,5
#2-2-1,20
#2-2-2,20
#2-a-1,1
#2-c-1,1
#3-1-1,1
#3-1-2,12
#3-2-1,18
#3-2-2,9
#3-3-1,2
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,1
#3-5-2,1
#3-6-1,1
#3-7-1,8
#3-7-2,1
#3-8-1,2
#3-8-2,1
#3-9-2,1
#3-9-3,1
#3-a-1,2
#3-b-2,1
#3-c-1,5
#4-1-1,2
#4-1-2,7
#4-1-6,2
#4-2-3,2
#4-3-3,3
#4-3-4,2
#4-5-1-a,3
#4-5-1-b,3
#4-6-1,9
#4-b-1,1
#4-c-1,9
#5-1-1,2
#5-2-1,1
#5-3-1,16
#5-3-4,4
#5-4-1,2
#5-5-1,2
#5-5-2,6
#5-b-1,15
#8-1-1,1
#8-2-1,1
#8-3-1,6
#8-3-2,1
#8-3-3,1
#8-5-1,9
#8-5-2,10
#8-5-3,1
#8-5-4,6
#8-6-1,6
#8-7-1,18
#8-7-2,2
#8-8-1,1
#8-9-1,1
#8-9-3,1
#8-a-1,1
